serial_number;product_model;purchase_date;registration_date;country;source_note
R1117995;R1r 3-12x56 RD;2011-12-12;;ČR;CZ legacy
R1111703;R1r 3-12x56 RD;2011-09-15;;;CZ legacy
R1115780;R1r 3-12x56 RD;2011-12-12;;ČR;CZ legacy
R1113895;1,5-6x42 RD;2011-12-23;;ČR;CZ legacy
R0801313;R1 7x56;2011-12-06;;ČR;CZ legacy
R1115386;R1r 3-12x56 RD;2012-01-05;;ČR;CZ legacy
R1117760;7x56 RD;2012-01-09;;ČR;CZ legacy
R1116708;2100 7x50 RD;2012-01-12;;;CZ legacy
R1117011;R1 3-12x56 RD;2012-01-11;;;CZ legacy
R1117206;2000 6x42;2012-01-20;;;CZ legacy
R1118644;R1r 3-12x56 RD;2012-01-18;;;CZ legacy
R1112286;R1 3-12x56 RD;2012-01-23;;;CZ legacy
R1116917;R1 3-12x56 RD;2012-01-27;;;CZ legacy
R1118170;R1r;2012-02-06;;;CZ legacy
R1004094;3000 3-9x42;2012-02-01;;;CZ legacy
R1120325;ZD 4-16x44 tactic;2012-02-03;;;CZ legacy
R1116930;R1r 3-12x56 RD/4C;2012-02-01;;;CZ legacy
R1117600;2000 6x42;2012-02-14;;;CZ legacy
R1118340;R1r 3-12x56 RD/4C;2012-01-19;;;CZ legacy
R1119455;R1r 3-12x56 RD;2012-02-02;;;CZ legacy
R1119292;R1r 3-12x56 RD 4C;2012-02-23;;;CZ legacy
;R1 3-12x56 RD;2012-02-20;;;CZ legacy
R1118279;R1r 3-12x56 RD - 4C;2012-02-14;;;CZ legacy
R1007311;1-4x22;2012-03-02;;;CZ legacy
12444;2000 3-9x42;2012-03-06;;;CZ legacy
R1117947;R1r 3-12x56 RD;2012-03-06;;;CZ legacy
R1111189;R1 7x56 RD;29.2.2012;;;CZ legacy
R1118288;R1r 3-12x56;2012-02-29;;;CZ legacy
R1111422;R1 1.5-6x42 RD;2012-03-01;;;CZ legacy
R1120203;R1r 3-12x56;2012-03-16;;;CZ legacy
R1119446;R1 3-12x56 RD;2012-03-21;;;CZ legacy
R1115036;R1r 3-12x56 RD;2012-03-20;;;CZ legacy
R1120152;R1r 3-12x56 RD;2012-03-28;;;CZ legacy
R1113387;R1 7x56 RD;2012-03-16;;;CZ legacy
R1201169;R1 3-12x56 RD;2012-03-23;;;CZ legacy
R1119376;R1 3-12x56 RD;2012-03-16;;;CZ legacy
R1203847;R1r 3-12x56 RD;2012-03-30;;;CZ legacy
R1116702;2100 7x50 RD;2012-04-12;;;CZ legacy
R1119349;R1r 3-12x56 RD;2012-04-11;;;CZ legacy
R1113418;R1 7x56 RD;2012-04-10;;;CZ legacy
R1100177;R1 1.5-6x42 RD;2012-04-17;;;CZ legacy
R1120157;R1r 3-12x56 RD;2012-04-17;;;CZ legacy
R1119267;2100 7x50 RD;2012-04-16;;;CZ legacy
R1119478;R1r 3-12x56 RD;2012-04-19;;;CZ legacy
R1116273;2100 7x50 RD;2012-04-19;;;CZ legacy
R1119543;MeoPro;2012-04-18;;;CZ legacy
R1109453;3-12x56;III/2012;;;CZ legacy
R1120116;R1r 3-12x56;2012-04-24;;;CZ legacy
R1200360;2000 6x42;2012-04-06;;;CZ legacy
R1116277;2100 7x50;2012-04-25;;;CZ legacy
R1119393;3000 3-9x42;2012-05-02;;;CZ legacy
R1115154;R1r 3-12x56 RD;2012-05-14;;;CZ legacy
R1202196;2100 7x50;2012-05-15;;;CZ legacy
R1113807;ZD 3-12x56;2012-05-16;;;CZ legacy
R1118679;R1r 3-12x56 RD;2012-04-24;;Slovensko;CZ legacy
R1120050;2000 6x42;2012-05-21;;Slovensko;CZ legacy
R1203006;R1r 3-12x56 RD;2012-05-23;;Slovensko;CZ legacy
R1206673;R1 4-12x40;2012-05-17;;;CZ legacy
R1200032;R1 7x56 RD;2012-05-25;;;CZ legacy
R1200074;R1 7x56 RD;2012-05-25;;;CZ legacy
R1200143;R1r 3-12x56 RD;2012-05-28;;;CZ legacy
R1111183;R1 7x56 RD;2012-05-27;;;CZ legacy
R1119230;2100 7x50 RD;2012-05-21;;;CZ legacy
R0609523;R1 1-4x22;2012-06-20;;;CZ legacy
R1113463;2100 7x50 RD;2012-06-01;;ČR;CZ legacy
R1118337;R1r 3-12x56 RD;2012-06-18;;Slovensko;CZ legacy
R0609523;R1 1-4x22;2012-06-20;;ČR;CZ legacy
R1119302;R1r 3-12x56 RD;2012-06-22;;ČR;CZ legacy
R1113505;2100 7x50 RD;2012-06-15;;Slovensko;CZ legacy
R1118682;R1r 3-12x56 RD;2012-06-20;;ČR;CZ legacy
R1202418;R1r 3-12x56 RD;2012-06-26;;ČR;CZ legacy
R1118260;R1r 3-12x56 RD;2012-06-20;;ČR;CZ legacy
392.6514.322221;;2012-06-20;;;CZ legacy
90761;2000 3-9x42;2012-07-23;;;CZ legacy
R1205676;R1r 3-12x56 RD;2012-07-04;;;CZ legacy
R1203785;R1r 3-12x56 RD;2012-07-19;;;CZ legacy
R1113188;2100 3-12x50;2012-07-30;;;CZ legacy
R1202234;R1r 3-12x56 RD;2012-07-27;;;CZ legacy
R1200088;R1 7x56 RD;2012-07-23;;;CZ legacy
R1202571;R1r 3-12x56 RD;2012-07-30;;;CZ legacy
R1204676;2100 3-12x50;2012-07-12;;Slovensko;CZ legacy
R1111202;R1 7x56 RD;2012-01-10;;Slovensko;CZ legacy
R1120799;R1 1.5-6x42 RD;2012-06-15;;Slovensko;CZ legacy
R1119188;2100 7x50 RD;2012-08-01;;Slovensko;CZ legacy
R1207731;R1r 3-12x56 RD/4C;2012-08-15;;ČR;CZ legacy
R1202125;2100 7x50;2012-08-27;;ČR;CZ legacy
R1007222;R1 7x56 RD;2012-08-24;;ČR;CZ legacy
R1202135;2100 7x50;2012-08-22;;ČR;CZ legacy
R1207740;R1r 3-12x56;2012-08-16;;ČR;CZ legacy
R1209806;R1r 3-12x56 RD;2012-07-31;;ČR;CZ legacy
R1119242;2100 7x50;2012-08-15;;Slovensko;CZ legacy
R1107858;R1 1-4x22 RD;2012-07-17;;Slovensko;CZ legacy
R1202512;R1 1,5-6x42 RD-4C;2012-08-06;;Slovensko;CZ legacy
R1116731;R1 1,5-6x42 RD-4C;2012-08-17;;ČR;CZ legacy
R1110803;R1r 3-12x56 RD;2012-08-14;;ČR;CZ legacy
