serial_number;product_model;purchase_date;registration_date;country;source_note
113 558;B1 12x50;2012-02-14;;;CZ legacy
101877;B1 7x50;2012-03-19;;;CZ legacy
120770;B1 10x50;2012-03-19;;;CZ legacy
120015;B1 8x56;2012-03-12;;;CZ legacy
114256;B1 8x56;2012-04-04;;;CZ legacy
10110;S1 75 Angled;2012-03-06;;;CZ legacy
704 613;B1 7x42;2012-04-13;;;CZ legacy
120 422;MeoPro;2012-04-18;;;CZ legacy
120 630;B1 8x56;III/2012;;;CZ legacy
121 077;B1 8x56;2012-05-03;;;CZ legacy
803 351;B1 8x56;2012-04-26;;;CZ legacy
121460;B1 8x56;2012-04-25;;;CZ legacy
503276;B1 8x42;2012-05-11;;;CZ legacy
120339;B1 8x56;2012-05-22;;;CZ legacy
121252;B1 10x50;2012-05-17;;;CZ legacy
802054;B1 12x50;2012-06-15;;;CZ legacy
121404;B1 8x56;2012-05-02;;ČR;CZ legacy
;;;;ČR;CZ legacy
121732;B1 8x56;2012-07-17;;ČR;CZ legacy
112921;B1 7x50;2012-07-16;;ČR;CZ legacy
121740;B1 8x56;2012-06-27;;ČR;CZ legacy
123072;B1 8x56;2012-07-27;;;CZ legacy
122664;B1 10x32;2012-08-01;;;CZ legacy
121451;B1 8x56;2012-07-13;;Slovensko;CZ legacy
120763;B1 10x50;2012-07-11;;Slovensko;CZ legacy
123055;B1 8x56;2012-08-06;;;CZ legacy
122646;B1 10x32;2012-08-28;;ČR;CZ legacy
123465;B1 8x56;2012-08-23;;ČR;CZ legacy
123045;B1 8x56;2012-08-21;;ČR;CZ legacy
121334;B1 10x50;2012-08-07;;Slovensko;CZ legacy
123851;B1 8x56;2012-08-15;;ČR;CZ legacy
123841;B1 8x56;2012-08-09;;ČR;CZ legacy
123003;B1 8x56;2012-08-07;;ČR;CZ legacy
123810;B1 8x56;2012-08-28;;ČR;CZ legacy
123803;B1 8x56;2012-08-24;;ČR;CZ legacy
123975;B1 8x56;2012-08-24;;ČR;CZ legacy
121887;B1 8x56;2012-09-03;;ČR;CZ legacy
122212;B1 8x56;2012-09-03;;ČR;CZ legacy
122278;B1 8x56;2012-07-04;;Slovensko;CZ legacy
122867;B1 8x56;2012-09-07;;ČR;CZ legacy
123964;B1 8x56;2012-09-04;;ČR;CZ legacy
122857;B1 8x56;2012-09-13;;ČR;CZ legacy
113382;B1 8x56;2012-09-12;;Slovensko;CZ legacy
122547;B1 8x56;2012-09-19;;ČR;CZ legacy
114072;B1 8x56;2012-10-02;;ČR;CZ legacy
121249;B1 10x50;2012-09-24;;ČR;CZ legacy
122453;B1 8x56;2012-10-09;;ČR;CZ legacy
123623;B1 8x56;2012-10-22;;ČR;CZ legacy
122240;B1 8x56;2012-10-19;;ČR;CZ legacy
124659;B1 8x56;2012-10-23;;Slovensko;CZ legacy
122894;B1 8x56;2012-11-19;;ČR;CZ legacy
10866;B1 8x56;2012-12-03;;ČR;CZ legacy
124281;B1 8x56;2012-12-03;;ČR;CZ legacy
125258;B1 8x56;2012-12-04;;ČR;CZ legacy
125255;B1 8x56;2012-12-29;;ČR;CZ legacy
111854;B1 8x56;2012-12-14;;ČR;CZ legacy
124586;B1 10x50;2012-12-18;;ČR;CZ legacy
121973;B1 7x50;2012-12-13;;ČR;CZ legacy
126154;B1 10x42 HD;2012-12-14;;ČR;CZ legacy
125513;B1 8x56;2012-12-13;;Slovensko;CZ legacy
125440;B1 8x56;2013-02-05;;Slovensko;CZ legacy
126105;B1 8x56;2013-02-07;;ČR;CZ legacy
125627;B1 8x56;2013-03-19;;Slovensko;CZ legacy
121590;B1 8x56;2013-03-01;;ČR;CZ legacy
122241;B1 8x56;2013-03-11;;ČR;CZ legacy
124257;B1 7x50;2013-04-12;;ČR;CZ legacy
126020;B1 10x42 HD;2013-04-18;;ČR;CZ legacy
126040;B1 8x56;2013-04-12;;ČR;CZ legacy
130017;B1 8x56;2013-05-23;;ČR;CZ legacy
125615;B1 8x56;2013-04-18;;ČR;CZ legacy
S1200318;S2 82 HD;2013-06-03;;ČR;CZ legacy
;S1 75 APO;;;ČR;CZ legacy
130244;B1 10x42 HD;2013-06-07;;ČR;CZ legacy
130705;B1 10x42 HD;2013-06-18;;ČR;CZ legacy
130444;B1 10x42 HD;2013-06-25;;ČR;CZ legacy
130810;B1 8x56;2013-08-05;;ČR;CZ legacy
130719;B1 8x56;2013-08-15;;ČR;CZ legacy
125701;B1 8x56;2013-08-20;;ČR;CZ legacy
131516;B1 10x42 HD;2013-09-04;;ČR;CZ legacy
132170;B1 10x42 HD;2013-09-04;;ČR;CZ legacy
132164;B1 10x42 HD;2013-09-04;;ČR;CZ legacy
132188;B1 10x42 HD;2013-09-04;;ČR;CZ legacy
132178;B1 10x42 HD;2013-09-04;;ČR;CZ legacy
131588;B1 8x56;2013-09-13;;ČR;CZ legacy
114328;B1 12x50;2013-09-25;;Slovensko;CZ legacy
131798;B1 8x56;2013-09-27;;Slovensko;CZ legacy
S1300176;S2 82 HD;2013-11-06;;ČR;CZ legacy
S1300303;S2 82 HD angled;2013-10-24;;ČR;CZ legacy
