serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1200245;MeoStar R1 3-12x56;2012-09-19;2012-10-17;cz;MSO CZ;;;;;;;;;;;
R1203171;MeoStar R1 7x56 RD;2012-10-01;2012-10-10;cz;MSO CZ;;;;;;;;;;;
111000;MeoSight II 30;2012-10-08;2012-10-11;cz;MSO CZ;;;;;;;;;;;
R1010088;MeoStar R1r 3-12x56 RD;2011-09-16;2012-10-10;cz;MSO CZ;;;;;;;;;;;
R1204408;MeoStar R1 1,5-6x42 RD;2012-10-04;2012-10-15;cz;MSO CZ;;;;;;;;;;;
122499;MeoStar B1 8x56;2012-10-16;2012-10-16;cz;MSO CZ;;;;;;;;;;;
R1215584;MeoStar R1r 3-12x56 RD;2012-10-05;2012-10-13;cz;MSO CZ;;;;;;;;;;;
R1205636;MeoStar R1r 3-12x56 RD;2012-10-08;2012-10-08;cz;MSO CZ;;;;;;;;;;;
R1217342;MeoStar R1 3-12x56 RD;2012-10-18;2012-10-19;cz;MSO CZ;;;;;;;;;;;
R1216713;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-20;cz;MSO CZ;;;;;;;;;;;
R1208760;MeoStar R1r 3-12x56 RD;2012-09-26;2012-10-22;cz;MSO CZ;;;;;;;;;;;
R1216312;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-23;cz;MSO CZ;;;;;;;;;;;
R1120198;MeoStar R1r 3-12x56 RD;2012-10-24;2012-10-24;cz;MSO CZ;;;;;;;;;;;
R1209194;MeoStar R1 7x56 RD;2012-10-19;2012-10-24;cz;MSO CZ;;;;;;;;;;;
R1216290;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-24;cz;MSO CZ;;;;;;;;;;;
R1216755;MeoStar R1r 3-12x56 RD;2012-10-19;2012-10-25;pl;MSO CZ;;;;;;;;;;;
121389;MeoStar B1 8x56;2012-10-20;2012-10-25;gm;MSO CZ;;;;;;;;;;;
R1217476;MeoStar R1r 3-12x56 RD;2012-10-25;2012-10-26;cz;MSO CZ;;;;;;;;;;;
R1217391;MeoStar R1r 3-12x56 RD;2012-10-19;2012-10-26;cz;MSO CZ;;;;;;;;;;;
R1216829;MeoStar R1 3-12x56 RD;2012-10-24;2012-10-26;cz;MSO CZ;;;;;;;;;;;
R1116735;Artemis 2100 7x50 RD;2012-10-26;2012-10-30;cz;MSO CZ;;;;;;;;;;;
R1217612;Artemis 2100 7x50 RD;2012-11-01;2012-11-01;cz;MSO CZ;;;;;;;;;;;
R1212854;MeoStar R1r 3-12x56 RD;2012-09-13;2012-11-01;cz;MSO CZ;;;;;;;;;;;
R1210486;Artemis 2100 7x50 RD;2012-10-26;2012-11-02;cz;MSO CZ;;;;;;;;;;;
120442;MeoStar B1 8x56;2012-11-02;2012-11-02;cz;MSO CZ;;;;;;;;;;;
R1217072;MeoStar R1 7x56 RD;2012-10-30;2012-11-03;cz;MSO CZ;;;;;;;;;;;
R1213305;MeoStar R1 1,5-6x42 RD;2012-11-02;2012-11-06;cz;MSO CZ;;;;;;;;;;;
R0819934;Artemis 2000 1,5-6x42;2012-10-10;2012-11-06;rs;MSO CZ;;;;;;;;;;;
R1212781;ZD 6-24x56;2012-11-02;2012-11-06;cz;MSO CZ;;;;;;;;;;;
R1209194;MeoStar R1 7x56 RD;2012-10-19;2012-11-07;cz;MSO CZ;;;;;;;;;;;
R1115662;MeoStar R1 1,5-6x42 RD;2012-11-01;2012-11-07;cz;MSO CZ;;;;;;;;;;;
R1203663;MeoStar R1r 3-12x56;2012-10-12;2012-11-07;cz;MSO CZ;;;;;;;;;;;
R1205216;Artemis 2100 3-12x50 RD;2012-11-08;2012-11-09;cz;MSO CZ;;;;;;;;;;;
R1205256;Artemis 2100 3-12x50 RD;2012-11-07;2012-11-11;cz;MSO CZ;;;;;;;;;;;
R1216219;MeoStar R1r 3-12x56 RD;2012-10-22;2012-11-12;cz;MSO CZ;;;;;;;;;;;
R1200049;MeoStar R1 7x56 RD;2012-11-07;2012-11-15;cz;MSO CZ;;;;;;;;;;;
111432;MeoStar B1 7x50;2012-11-01;2012-11-15;cz;MSO CZ;;;;;;;;;;;
10025;MeoStar S1 75 HD Straight / Přímý;2012-11-14;2012-11-16;cz;MSO CZ;;;;;;;;;;;
R0731571;MeoStar R1 1-4x22 RD;2012-10-31;2012-11-17;cz;MSO CZ;;;;;;;;;;;
R1217488;MeoStar R1r 3-12x56 RD;2012-11-16;2012-11-17;cz;MSO CZ;;;;;;;;;;;
R1202419;MeoStar R1r 3-12x56 RD;2012-11-12;2012-11-17;cz;MSO CZ;;;;;;;;;;;
R1111803;MeoStar R1r 3-12x56;2012-11-07;2012-11-18;cz;MSO CZ;;;;;;;;;;;
R1218765;MeoStar R1r 3-12x56 RD;2012-11-19;2012-11-19;pl;MSO CZ;;;;;;;;;;;
