serial_number;product_model;purchase_date;registration_date;country;source_note
1029048 rev B;MeoPro Optika HD;2024-01-16;2024-01-19;US;mailchimp
1047491B;MeoSport R;2023-05-05;2023-05-07;AU;mailchimp
1032571 B;MeoPro Optika5;2023-05-17;2023-05-27;AU;mailchimp
R22135993;MeoPro Optika6;2024-03-21;2024-03-22;AU;mailchimp
201467;MeoStar B1 Plus;2021-03-15;2021-03-23;US;mailchimp
R21114444;MeoPro Optika6;2021-09-23;2021-09-23;LV;mailchimp
R21128811;MeoPro Optika6;2022-04-05;2024-02-15;FI;mailchimp
220436;MeoStar B1 Plus;2023-06-12;2024-01-26;US;mailchimp
R22509655;MeoSport R;2023-07-17;2023-07-19;FI;mailchimp
R211123980;MeoPro Optika6;2022-04-19;2022-04-19;NO;mailchimp
R21121868;MeoPro Optika5;2022-01-14;2022-01-17;CZ;mailchimp
R21101682;MeoPro Optika6;2021-08-15;2021-08-26;US;mailchimp
22200464;MeoPro HD Plus;2023-04-19;2023-04-19;CZ;mailchimp
R2103312;MeoStar R2;2023-10-23;2023-10-23;CZ;mailchimp
R22514863;MeoSport R;2023-12-22;2023-12-28;FI;mailchimp
R22105835;MeoPro Optika5;2022-12-29;2023-01-02;FI;mailchimp
r19111113;;2020-01-23;2021-01-23;AU;mailchimp
r21121258;MeoPro Optika5;2022-06-23;2022-06-29;US;mailchimp
B20210681;MeoPro Optika HD;2021-08-02;2021-10-29;NO;mailchimp
R22139191;MeoPro Optika5;2023-07-07;2023-07-08;US;mailchimp
R22500249;MeoSport R;2022-05-18;2022-05-20;DE;mailchimp
R21124295;MeoPro Optika6;2023-03-02;2023-02-03;LV;mailchimp
R20117297;MeoPro Optika6;2021-05-18;2021-05-21;DK;mailchimp
170240;Other;2023-08-14;2022-04-16;US;mailchimp
B22200285;MeoPro Optika HD;2024-04-12;2024-04-12;DK;mailchimp
R22139447;MeoPro;2024-01-09;2024-01-16;US;mailchimp
B22201275;MeoPro Air;2023-12-04;2023-12-08;US;mailchimp
R20106972;MeoPro Optika6;2021-02-17;2021-02-23;FI;mailchimp
R22110910;MeoPro Optika6;2023-12-04;2024-01-02;US;mailchimp
R21127604;MeoPro Optika6;2022-02-04;2022-05-02;BE;mailchimp
R22514378;MeoSport R;2023-12-23;2024-01-11;DE;mailchimp
R22503250;MeoSport R;2022-06-08;2022-08-06;DE;mailchimp
23400004;Other;2023-07-19;2023-07-19;FI;mailchimp
R20109856;MeoPro Optika6;2021-05-03;2021-06-13;US;mailchimp
1047491B;MeoSport R;2022-07-17;2022-07-16;FI;mailchimp
R1815442;MeoStar R1;2023-01-19;2023-02-04;PL;mailchimp
R21101107;MeoPro Optika6;2022-06-22;2022-06-25;US;mailchimp
R22102340;MeoPro Optika6;2022-03-31;2022-04-04;HU;mailchimp
R21124057;MeoPro Optika6;2022-09-15;2022-09-15;LV;mailchimp
R0817432;MeoStar R1;2015-08-30;2023-12-08;US;mailchimp
1047103A;MeoSight IV;2023-08-31;2023-10-03;HR;mailchimp
R20110643;;2021-02-22;2021-03-01;FI;mailchimp
R22122433;MeoPro Optika6;2022-11-25;2022-11-29;DE;mailchimp
R22113151;MeoPro Optika5;2022-09-15;2022-09-16;FI;mailchimp
R22506698;MeoSport R;2022-11-17;2022-11-17;FI;mailchimp
R21131423;MeoPro Optika5;2022-03-05;2022-05-03;SI;mailchimp
B22200035;MeoPro;2023-04-27;2023-05-23;CZ;mailchimp
B22202770;MeoPro Optika HD;2022-08-31;2022-09-30;US;mailchimp
B20201627;MeoPro Air;2023-08-23;2023-08-30;GB;mailchimp
220417;MeoStar B1 Plus;2023-05-21;2023-05-26;US;mailchimp
1027201;MeoPro Optika6;2023-07-19;2023-07-19;FI;mailchimp
R20111905;;2021-07-04;2021-04-10;NO;mailchimp
R22108152;MeoPro Optika6;2023-11-09;2023-09-13;CZ;mailchimp
R22504863;MeoSport R;2022-11-25;2022-12-09;CZ;mailchimp
R1610824;MeoStar R2;2024-04-20;2023-04-24;US;mailchimp
R20116014;MeoPro Optika6;2021-04-17;2021-04-19;RU;mailchimp
B20202173;;2021-01-18;2021-06-18;NO;mailchimp
R20113074;;2021-09-18;2021-09-18;FR;mailchimp
R22507737;MeoSport R;2023-10-02;2023-02-24;HR;mailchimp
R22508783;MeoSport R;2023-05-01;2023-01-05;FI;mailchimp
R22112607;MeoPro Optika5;2023-01-10;2023-01-11;US;mailchimp
R22113687;MeoPro Optika6;2023-05-02;2023-05-03;PT;mailchimp
R21121813;MeoPro Optika5;2022-09-20;2022-09-20;FI;mailchimp
R22509751;MeoSport R;2022-12-21;2022-12-22;HR;mailchimp
R22101822;MeoPro Optika6;2024-06-02;2024-04-02;AT;mailchimp
1047491B;MeoSport R;2023-08-31;2023-09-04;CZ;mailchimp
R19103345;;2020-07-25;2020-07-25;AU;mailchimp
R201009465;;2021-09-04;2021-04-09;NO;mailchimp
B21201932;MeoPro Optika HD;2021-12-18;2022-01-04;US;mailchimp
1002527;MeoPro Optika6;2023-12-18;2023-12-22;GB;mailchimp
B20201765;MeoPro Air;2022-02-01;2022-02-02;NL;mailchimp
1047491 B;MeoSport R;2023-04-25;2023-05-02;FI;mailchimp
R 20102214;MeoPro Optika6;2021-07-26;2021-07-26;AU;mailchimp
R22118528;MeoPro Optika6;2022-09-20;2023-01-31;FI;mailchimp
1038379/A;MeoStar R2;2024-02-17;2024-03-11;AT;mailchimp
B2120117;MeoPro Optika HD;2021-09-27;2021-10-01;US;mailchimp
R22502310;MeoSport R;2022-09-27;2022-10-07;FI;mailchimp
R21113579;MeoPro Optika6;2022-04-16;2022-11-20;US;mailchimp
1027165a;;2023-04-18;2023-04-18;AU;mailchimp
r2208826;MeoStar R2;2023-03-02;2023-02-03;CZ;mailchimp
B20203509;MeoPro Optika HD;2021-04-06;2021-04-10;CZ;mailchimp
22200540;MeoPro HD Plus;2023-12-18;2023-12-18;CZ;mailchimp
R22133643;MeoPro Optika6;2022-03-20;2023-03-23;DE;mailchimp
22200251;MeoPro HD Plus;2022-12-03;2022-12-04;US;mailchimp
B19202018;;2020-09-08;2020-09-08;FI;mailchimp
R21118048;MeoPro Optika6;2023-04-01;2023-01-06;AT;mailchimp
R22110762;MeoPro Optika6;2024-08-14;2024-08-16;FI;mailchimp
R20113893;MeoPro Optika6;2021-09-17;2024-08-25;FI;mailchimp
R21130932;MeoPro Optika5;2023-01-24;2023-01-25;US;mailchimp
R1609091;MeoStar R2;2023-05-18;2023-05-21;CZ;mailchimp
220599;MeoStar B1 Plus;2022-11-20;2022-11-07;US;mailchimp
B20201181;;2020-10-07;2020-10-08;US;mailchimp
R22515958;MeoSport R;1982-03-08;2023-11-10;FI;mailchimp
R21116660;MeoPro Optika6;2022-07-16;2022-07-31;PL;mailchimp
R22504461;MeoSport R;2022-08-26;2022-08-30;CZ;mailchimp
R1905999;MeoPro Optika6;2023-05-26;2023-01-21;US;mailchimp
R21115862;MeoPro Optika6;2022-01-04;2022-01-04;US;mailchimp
B21208332;MeoPro Optika HD;2022-10-10;2022-10-18;FI;mailchimp
1047491 B;MeoSport R;2023-05-05;2023-05-15;RS;mailchimp
R21101460;MeoPro Optika6;2021-08-06;2021-08-24;FI;mailchimp
R22506395;MeoSport R;2023-02-04;2023-02-20;FI;mailchimp
R21117844;MeoPro Optika6;2021-12-23;2021-12-23;DE;mailchimp
R22103669;MeoPro Optika6;2023-08-02;2023-08-04;FI;mailchimp
R22116662;MeoPro Optika6;2023-01-26;2023-02-03;FI;mailchimp
R20112379;;2021-12-27;2022-01-13;SE;mailchimp
R23101438;MeoPro Optika6;2023-12-07;2023-12-11;FI;mailchimp
B20300680;MeoPro Optika LR;2022-09-06;2022-09-06;US;mailchimp
R22137501;MeoPro Optika5;2023-09-06;2023-09-06;US;mailchimp
R19100292;MeoPro Optika6;2021-08-13;2021-08-13;DE;mailchimp
2120188;MeoPro HD;2022-02-18;2022-02-22;US;mailchimp
R21119179;MeoPro Optika6;2023-10-10;2023-10-17;FI;mailchimp
R20105159;;2022-03-15;2022-04-04;AU;mailchimp
R22101957;MeoPro Optika6;2023-01-19;2023-01-25;US;mailchimp
220175;MeoStar B1 Plus;2023-09-21;2023-10-05;US;mailchimp
R21131251;MeoPro Optika5;2022-06-21;2022-06-21;US;mailchimp
