serial_number;product_model;purchase_date;registration_date;country;source_note
121411;MeoStar B1 10x42 HD;2012-06-11;2012-06-30;United states;MSO USA
121210;MeoStar B1 10x42 HD;2012-06-22;2012-06-29;Canada;MSO USA
R1109664;MeoStar R1 1-4x22 RD;2012-06-30;2012-07-01;United states;MSO USA
102066;MeoStar B1 10x42;2012-06-15;2012-06-26;United states;MSO USA
R0999841;MeoPro 3-9x42;2012-02-09;2012-07-02;United states;MSO USA
R1109693;MeoStar R1 3-10x50;2012-06-12;2012-07-02;United states;MSO USA
R1201368;MeoStar R1 3-12x56;2012-06-25;2012-06-27;;MSO USA
110123;MeoStar B1 10x42;2012-05-14;2012-07-02;United states;MSO USA
R1109993;ZD 1-4x22 RD;2012-05-22;2012-07-02;United states;MSO USA
R1118159;MeoStar R1 3-12x56 RD;2012-02-15;2012-07-03;United states;MSO USA
R1109993;ZD 1-4x22 RD;2012-05-22;2012-07-03;United states;MSO USA
R1114230;MeoStar R1 3-12x56 RD;2012-02-17;2012-07-03;United states;MSO USA
129058;MeoStar B1 10x42 HD;2012-06-16;2012-07-05;United states;MSO USA
123172;MeoPro 3-9x42;2012-06-26;2012-07-08;United states;MSO USA
110825;MeoPro 8x42;2011-10-18;2012-07-09;United states;MSO USA
R0730317;MeoStar R1 1-4x22 RD;2012-06-05;2012-07-09;United states;MSO USA
112681;MeoPro 4-12x50;2012-07-09;2012-07-10;United states;MSO USA
121184;MeoStar B1 10x42 HD;2012-06-25;2012-07-10;United states;MSO USA
524370;MeoPro 3-9x42;2012-07-09;2012-07-12;United states;MSO USA
R1201659;MeoStar R1 3-12x56 RD;2012-05-11;2012-07-12;United states;MSO USA
113021;MeoPro 3-9x42;2012-07-02;2012-07-14;United states;MSO USA
113021;MeoPro 3-9x42;2012-07-02;2012-07-14;United states;MSO USA
R1115844;MeoStar R1 1.5-6x42 RD;2011-10-20;2012-07-18;United states;MSO USA
110479;MeoStar B1 8x32;2012-07-10;2012-07-20;United states;MSO USA
N112120;MeoPro 3-9x42;2012-07-12;2012-07-20;United states;MSO USA
L101212;MeoPro 3-9x42;2012-07-20;2012-07-20;United states;MSO USA
R0817941;MeoStar R1 4-12x40;2012-07-21;2012-07-22;United states;MSO USA
L111572;MeoPro 3-9x42;2012-06-23;2012-07-23;United states;MSO USA
L111808;MeoPro 3-9x42;2012-07-02;2012-07-24;United states;MSO USA
L111663;MeoPro 3-9x42;2012-07-10;2012-07-24;United states;MSO USA
C121242;MeoPro 10x42;2012-07-18;2012-07-24;United states;MSO USA
P111960;MeoPro 4-12x50;2012-06-27;2012-07-25;United states;MSO USA
P111960;MeoPro 4-12x50;2012-06-27;2012-07-25;United states;MSO USA
R1107583;;2012-06-21;2012-07-25;United states;MSO USA
R1202341;MeoStar R1 3-12x56 RD;2012-06-20;2012-07-25;;MSO USA
R1112522;MeoStar R1 4-16x44;2012-05-11;2012-07-26;United states;MSO USA
B110821;MeoPro 8x42;2012-07-21;2012-07-27;United states;MSO USA
R1207289;MeoStar R1 3-10x50;2012-07-18;2012-07-27;United states;MSO USA
O123809;MeoPro 4-12x50;2012-07-26;2012-07-27;United states;MSO USA
T123583;MeoPro 6-18x50;2012-07-05;2012-07-28;United states;MSO USA
R1205886;ZD 1-4x22 RD;2012-07-24;2012-07-28;United states;MSO USA
B110419;MeoPro 8x42;2012-07-05;2012-07-29;United states;MSO USA
R1200266;MeoStar R1 3-12x56 RD;2012-07-28;2012-07-30;United states;MSO USA
R1258965;MeoPro 6.5x32;0000-00-00;2012-07-30;United states;MSO USA
L111692;MeoPro 3-9x42;2012-07-06;2012-07-30;United states;MSO USA
114619;MeoStar B1 10x42 HD;2012-07-30;2012-07-30;United states;MSO USA
S123086;MeoPro 4-12x50;2012-07-30;2012-07-31;United states;MSO USA
R116877;MeoStar R1 3-12x56;2012-07-27;2012-07-31;United states;MSO USA
L111617;MeoPro 3-9x42;2012-07-17;2012-07-31;United states;MSO USA
R1118976;MeoStar R1 3-12x56 RD;2012-07-20;2012-07-31;United states;MSO USA
C111011;MeoPro 10x42;2012-06-17;2012-07-31;United states;MSO USA
S123203;MeoPro 4-12x50;2012-07-28;2012-08-02;United states;MSO USA
R1111893;MeoStar R1 3-12x56 RD;2012-07-07;2012-08-02;United states;MSO USA
O100131;MeoPro 4-12x50;2012-07-28;2012-08-02;United states;MSO USA
R1112522;MeoStar R1 4-16x44;2012-05-11;2012-08-03;United states;MSO USA
114629;MeoStar B1 10x42 HD;2012-08-04;2012-08-04;United states;MSO USA
M112043;MeoPro 3-9x42;2012-08-04;2012-08-05;United states;MSO USA
121066;MeoStar B1 10x42 HD;2012-08-04;2012-08-05;Canada;MSO USA
R1200210;MeoStar R1 3-12x56 RD;2012-08-03;2012-08-06;United states;MSO USA
R1109651;MeoStar R1 1-4x22 RD;2012-07-05;2012-08-06;United states;MSO USA
R1201943;;2012-07-16;2012-08-08;;MSO USA
120966;MeoStar B1 10x42 HD;2012-08-07;2012-08-08;United states;MSO USA
R1105931;MeoStar R1 3-12x56 RD;2011-08-16;2012-08-08;United states;MSO USA
P123604;MeoPro 4-12x50;2012-07-24;2012-08-10;United states;MSO USA
R1115863;MeoStar R1 1.5-6x42 RD;2012-05-02;2012-08-10;United states;MSO USA
R1203401;MeoStar R1 3-12x56 RD;2012-07-25;2012-08-10;United states;MSO USA
M124103;MeoPro 3-9x42;2012-08-02;2012-08-10;United states;MSO USA
R1116877;MeoStar R1 3-12x56;2012-07-27;2012-08-10;United states;MSO USA
S112042;MeoPro 4-12x50;2012-07-27;2012-08-10;United states;MSO USA
R116397;MeoStar R1 3-12x56 RD;2012-06-19;2012-08-11;United states;MSO USA
100720;MeoPro 4-12x50;2012-08-11;2012-08-11;United states;MSO USA
R1109515;MeoStar R1 3-12x56;0000-00-00;2012-08-11;United states;MSO USA
