serial_number;product_model;purchase_date;registration_date;country;source_note
R1208961;MeoStar R1 1-4x22;2012-09-10;2012-10-10;fi;MSO ROW
R1114193;MeoStar R1 3-12x56 RD;2012-10-09;2012-10-09;no;MSO ROW
R1208753;MeoStar R1r 3-12x56 RD;2012-10-05;2012-10-09;lo;MSO ROW
R1203326;MeoStar R1 1-4x22 RD;2012-10-08;2012-10-08;fi;MSO ROW
R1111418;MeoStar R1 1,5-6x42 RD;2012-10-04;2012-10-09;rs;MSO ROW
R1207113;MeoStar R1r 3-12x56 RD;0000-00-00;2012-10-09;fi;MSO ROW
R1213304;MeoStar R1 1,5-6x42 RD;2012-10-06;2012-10-10;sz;MSO ROW
R1010156;MeoStar R1r 3-12x56 RD;2010-09-28;2012-10-09;pl;MSO ROW
R1214852;MeoStar R1r 3-12x56 RD;2012-10-04;2012-10-10;au;MSO ROW
R1206797;MeoStar R1r 3-12x56 RD;2012-09-14;2012-10-10;sw;MSO ROW
R1202550;MeoStar R1 1,5-6x42 RD;2012-09-26;2012-10-12;lo;MSO ROW
122376;MeoStar B1 10x42;2012-10-01;2012-10-13;as;MSO ROW
R1203390;MeoStar R1 3-12x56 RD;2012-09-13;2012-10-13;gm;MSO ROW
R1204666;Artemis 2100 3-12x50 RD;2012-10-12;2012-10-14;no;MSO ROW
R1118684;MeoStar R1r 3-12x56 RD;2012-10-13;2012-10-14;fr;MSO ROW
R1202377;MeoStar R1r 3-12x56 RD;2012-10-11;2012-10-14;da;MSO ROW
R1208373;MeoStar R1 7x56 RD;0000-00-00;2012-10-14;ez;MSO ROW
R1212867;MeoStar R1r 3-12x56;2012-09-14;2012-10-14;lg;MSO ROW
R1214846;MeoStar R1 3-12x56 RD;2012-09-18;2012-10-15;fi;MSO ROW
R1215809;MeoStar R1r 3-12x56 RD;2012-10-12;2012-10-15;fi;MSO ROW
R1215859;MeoStar R1r 3-12x56 RD;2012-10-12;2012-10-15;fi;MSO ROW
R1207232;MeoStar R1 1-4x22 RD;2012-10-15;2012-10-16;da;MSO ROW
R1205185;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-16;fi;MSO ROW
R1212903;MeoStar R1r 3-12x56 RD;2012-09-25;2012-10-16;fi;MSO ROW
R1114941;MeoStar R1 3-12x56;2012-10-13;2012-10-16;sf;MSO ROW
R1206916;MeoStar R1r 3-12x56 RD;2012-09-16;2012-10-16;lh;MSO ROW
R1214847;MeoStar R1r 3-12x56 RD;2012-10-16;2012-10-16;lo;MSO ROW
R1209066;MeoStar R1r 3-12x56 RD/MR;2012-10-16;2012-10-16;gm;MSO ROW
R1217896;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-17;hu;MSO ROW
R1207113;MeoStar R1r 3-12x56 RD;2012-09-18;2012-10-17;fi;MSO ROW
R1206865;MeoStar R1r 3-12x56 RD;2012-10-04;2012-10-17;fi;MSO ROW
R1200249;MeoStar R1r 3-12x56 RD;2012-09-28;2012-10-18;no;MSO ROW
R1104593;MeoStar R1 1-4x22 RD/MR;2012-10-16;2012-10-18;fi;MSO ROW
R1213234;MeoStar R1 3-12x56 RD;2012-09-18;2012-10-18;no;MSO ROW
R1200127;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-18;fi;MSO ROW
R1209057;MeoStar R1r 3-12x56 RD;2012-10-18;2012-10-18;gm;MSO ROW
R1201645;MeoStar R1 3-12x56 RD;2012-10-15;2012-10-19;fi;MSO ROW
R1213828;Artemis 2100 3-12x50 RD;2012-10-18;2012-10-19;hu;MSO ROW
R1206807;MeoStar R1r 3-12x56 RD;2012-09-19;2012-10-19;no;MSO ROW
R1206383;MeoStar R1 3-12x56 RD;2012-09-19;2012-10-19;gm;MSO ROW
R1216364;MeoStar R1r 3-12x56 RD;2012-10-19;2012-10-19;fi;MSO ROW
R1214836;MeoStar R1r 3-12x56 RD;2012-10-19;2012-10-19;fi;MSO ROW
R1209836;MeoStar R1r 3-12x56 RD;2012-10-10;2012-10-19;gm;MSO ROW
R1203461;MeoStar R1 3-12x56 RD;2012-10-17;2012-10-20;au;MSO ROW
R1202550;MeoStar R1 1,5-6x42 RD;2012-09-26;2012-10-21;lo;MSO ROW
R1202550;MeoStar R1 1,5-6x42 RD;2012-09-26;2012-10-21;lo;MSO ROW
R1209852;MeoStar R1r 3-12x56 RD;2012-10-16;2012-10-21;gm;MSO ROW
R1200105;MeoStar R1r 3-12x56 RD;2012-09-30;2012-10-21;gm;MSO ROW
R1216721;MeoStar R1r 3-12x56 RD;2012-10-17;2012-10-21;lo;MSO ROW
R1213862;MeoStar R1r 3-12x56 RD/MR;2012-10-18;2012-10-22;gm;MSO ROW
R1203662;MeoStar R1r 3-12x56;2012-10-22;2012-10-22;fi;MSO ROW
R1203882;MeoStar R1r 3-12x56 RD;2012-10-10;2012-10-22;be;MSO ROW
R1214866;MeoStar R1 3-12x56 RD;0000-00-00;2012-10-23;pl;MSO ROW
R1214865;MeoStar R1 3-12x56 RD;2012-10-05;2012-10-23;pl;MSO ROW
R1214865;MeoStar R1 3-12x56 RD;2012-10-05;2012-10-23;pl;MSO ROW
R1217377;MeoStar R1r 3-12x56 RD;2012-10-22;2012-10-23;lo;MSO ROW
R1213241;MeoStar R1r 3-12x56 RD;2012-09-23;2012-10-23;no;MSO ROW
R1212181;MeoStar R1 3-10x50;2012-10-23;2012-10-23;no;MSO ROW
R1202542;MeoStar R1 1,5-6x42 RD;2012-10-04;2012-10-23;lo;MSO ROW
R1209110;MeoStar R1r 3-12x56 RD/MR;2012-10-24;2012-10-24;gm;MSO ROW
10009;TGA 75;2012-10-15;2012-10-24;gm;MSO ROW
R1211858;MeoStar R1 1-4x22 RD;2012-10-11;2012-10-24;pl;MSO ROW
R1118374;MeoStar R1 1-4x22 RD;2012-10-01;2012-10-24;pl;MSO ROW
124659;MeoStar B1 8x56;2012-10-23;2012-10-25;lo;MSO ROW
R1210636;MeoStar R1 4-12x40;2012-10-25;2012-10-25;gm;MSO ROW
R1214907;MeoStar R1r 3-12x56 RD;0000-00-00;2012-10-25;pl;MSO ROW
R1117549;MeoStar R1r 3-12x56 RD/MR;2012-09-26;2012-10-25;pl;MSO ROW
R1114890;MeoStar R1 3-12x56 RD;2012-10-09;2012-10-25;no;MSO ROW
R1218134;MeoStar R1r 3-12x56 RD;2012-10-26;2012-10-26;pl;MSO ROW
R1216766;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-27;lo;MSO ROW
R1216236;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-27;lo;MSO ROW
R1208653;MeoStar R1r 3-12x56 RD;2012-10-25;2012-10-27;pl;MSO ROW
R1213932;MeoStar R1r 3-12x56 RD/MR;2012-10-04;2012-10-27;gm;MSO ROW
R1216844;MeoStar R1r 3-12x56 RD;2012-10-25;2012-10-27;fi;MSO ROW
R1203387;MeoStar R1 3-12x56;2012-09-27;2012-10-27;no;MSO ROW
R1215118;MeoStar R1 1-4x22 RD;2012-10-25;2012-10-28;gm;MSO ROW
124595;MeoStar B1 8x56;2012-10-08;2012-10-29;au;MSO ROW
R1109095;MeoStar R1r 3-12x56 RD;2012-10-26;2012-10-29;pl;MSO ROW
R1116748;MeoStar R1r 3-12x56 RD;2012-10-12;2012-10-29;pl;MSO ROW
R0605944;MeoStar R1 3-10x50;2012-10-30;2012-10-30;sw;MSO ROW
R1208623;MeoStar R1r 3-12x56 RD;2012-10-15;2012-10-30;gm;MSO ROW
R1201921;Artemis 2100 3-12x50 RD;2012-10-05;2012-10-31;pl;MSO ROW
R1117396;Artemis 2000 3-9x42;2012-10-29;2012-10-31;fi;MSO ROW
R1116834;MeoStar R1r 3-12x56 RD/MR;2012-10-24;2012-10-31;gm;MSO ROW
R1119621;MeoStar R1r 3-12x56 RD;2012-10-16;2012-11-01;da;MSO ROW
R1216847;MeoStar R1r 3-12x56 RD;2012-10-16;2012-11-01;fi;MSO ROW
R1117700;MeoStar R1r 3-12x56 RD;2012-11-01;2012-11-01;en;MSO ROW
R1202329;MeoStar R1r 3-12x56 RD;2012-10-16;2012-11-01;fi;MSO ROW
20505;Artemis 2100 3-12x50 RD;0000-00-00;2012-11-01;pl;MSO ROW
R0707406;MeoStar R1 7x56;2012-10-23;2012-11-02;fi;MSO ROW
R1216736;MeoStar R1r 3-12x56 RD;2012-11-01;2012-11-02;fi;MSO ROW
R1216730;MeoStar R1r 3-12x56 RD;2012-10-17;2012-11-03;;MSO ROW
R1216600;MeoStar R1r 3-12x56 RD;2012-10-05;2012-11-03;fi;MSO ROW
R1003255;MeoStar R1 1-4x22;2012-11-01;2012-11-03;no;MSO ROW
R1211451;MeoStar R1r 3-12x56 RD;2012-10-26;2012-11-04;pl;MSO ROW
R1216610;MeoStar R1r 3-12x56 RD;2012-11-02;2012-11-04;hu;MSO ROW
R1210228;Artemis 2000 3-12x50;2012-11-04;2012-11-04;au;MSO ROW
124620;MeoStar B1 10x50;2012-11-05;2012-11-05;lo;MSO ROW
112962;MeoStar B1 8x56;2012-10-23;2012-11-05;gm;MSO ROW
R1113382;MeoStar R1 7x56 RD;2012-11-02;2012-11-05;lo;MSO ROW
P1216365;MeoStar R1 3-12x56 RD;2012-11-05;2012-11-05;fi;MSO ROW
R1120563;Artemis 2100 3-12x50 RD;2012-11-01;2012-11-06;sw;MSO ROW
R1113281;MeoStar R1 3-12x56 RD;2012-11-05;2012-11-06;sz;MSO ROW
R1116031;MeoStar R1r 3-12x56 RD;2012-11-03;2012-11-06;no;MSO ROW
R1219341;MeoStar R1r 3-12x56 RD;2012-10-31;2012-11-06;lo;MSO ROW
R1119066;MeoStar R1 1,5-6x42 RD;2012-10-08;2012-11-07;lg;MSO ROW
R1012901;MeoStar R1r 3-12x56 RD;2012-10-08;2012-11-07;sz;MSO ROW
R1202646;MeoStar R1r 3-12x56 RD;2012-11-06;2012-11-07;fi;MSO ROW
R1206203;MeoStar R1r 3-12x56 RD;2012-11-01;2012-11-07;no;MSO ROW
R1218254;MeoStar R1r 3-12x56 RD;2012-11-08;2012-11-08;lo;MSO ROW
R1200534;MeoStar R1r 3-12x56;2012-11-08;2012-11-08;no;MSO ROW
R1208594;MeoStar R1r 3-12x56 RD;2012-10-15;2012-11-08;gm;MSO ROW
R1210081;MeoStar R1r 3-12x56 RD;2012-11-06;2012-11-08;da;MSO ROW
123475;MeoStar B1 12x50;2012-10-25;2012-11-09;sw;MSO ROW
R1213684;ZD 6-24x56;2012-11-06;2012-11-09;gm;MSO ROW
R1116926;MeoStar R1r 3-12x56 RD;2012-11-09;2012-11-10;da;MSO ROW
R1217904;MeoStar R1r 3-12x56 RD;2012-10-29;2012-11-10;be;MSO ROW
10;Artemis 3000 3-9x42;2012-11-08;2012-11-10;no;MSO ROW
R1216302;MeoStar R1r 3-12x56 RD;2012-11-05;2012-11-11;gm;MSO ROW
R1215224;ZD 1-4x22;2012-10-26;2012-11-11;sw;MSO ROW
R1215224;ZD 1-4x22;2012-10-26;2012-11-11;sw;MSO ROW
R1213032;MeoStar R1r 3-12x56 RD;2012-11-03;2012-11-12;gm;MSO ROW
R1215417;MeoStar R1 1-4x22 RD;2012-11-01;2012-11-12;gm;MSO ROW
R1211463;MeoStar R1 3-12x56 RD;2012-11-05;2012-11-12;gm;MSO ROW
R1212976;MeoStar R1 1-4x22 RD;2012-11-12;2012-11-12;fi;MSO ROW
6006;MeoStar S1 75 Straight / Přímý;2012-11-12;2012-11-13;us;MSO ROW
P1208548;MeoStar R1 1,5-6x42 RD;2012-10-19;2012-11-13;lo;MSO ROW
R1213963;MeoStar R1 1-4x22 RD;2012-11-07;2012-11-14;be;MSO ROW
R1213963;MeoStar R1 1-4x22 RD;2012-11-07;2012-11-14;be;MSO ROW
R1212830;MeoStar R1r 3-12x56 RD;2012-11-14;2012-11-14;pl;MSO ROW
R1212828;MeoStar R1r 3-12x56 RD;2012-10-26;2012-11-14;pl;MSO ROW
R0712127;MeoStar R1 4-16x44 Tactic;2012-11-09;2012-11-14;fi;MSO ROW
124635;MeoStar B1 10x50;2012-11-13;2012-11-14;pl;MSO ROW
R1215860;MeoStar R1r 3-12x56 RD;2012-11-13;2012-11-14;fi;MSO ROW
R1208738;MeoStar R1r 3-12x56 RD;2012-11-12;2012-11-15;lo;MSO ROW
R1210444;MeoStar R1r 3-12x56 RD;2012-11-15;2012-11-15;gm;MSO ROW
121621;MeoStar B1 10x42 HD;2012-11-14;2012-11-15;be;MSO ROW
123050;MeoStar B1 8x56;2012-11-07;2012-11-15;au;MSO ROW
R1115898;MeoStar R1 1,5-6x42 RD;2012-11-09;2012-11-16;no;MSO ROW
90853;MeoSight II 30;2012-11-16;2012-11-16;lg;MSO ROW
R1215675;MeoStar R1r 3-12x56 RD;2012-11-16;2012-11-16;da;MSO ROW
R1216740;MeoStar R1r 3-12x56 RD;2012-11-16;2012-11-16;fi;MSO ROW
R1211530;MeoStar R1r 3-12x56 RD;2012-11-06;2012-11-16;gm;MSO ROW
R1217271;MeoStar R1r 3-12x56 RD/MR;2012-11-16;2012-11-16;gm;MSO ROW
R0906667;MeoStar R1 3-12x56 RD;2012-11-17;2012-11-17;no;MSO ROW
R1218251;MeoStar R1r 3-12x56 RD;2012-11-08;2012-11-18;lo;MSO ROW
R1215739;MeoStar R1r 3-12x56 RD;2012-11-08;2012-11-19;gm;MSO ROW
R1214672;MeoStar R1 1,5-6x42 RD;2012-10-23;2012-11-19;lo;MSO ROW
122092;MeoStar B1 12x50;2012-11-17;2012-11-19;uk;MSO ROW
R1116342;MeoStar R1 1-4x22 RD;2012-11-14;2012-11-20;gm;MSO ROW
R1215592;MeoStar R1r 3-12x56 RD;2012-11-09;2012-11-20;gm;MSO ROW
R1218158;MeoStar R1r 3-12x56 RD;2012-11-20;2012-11-20;gm;MSO ROW
R1214837;MeoStar R1r 3-12x56 RD;2012-11-09;2012-11-20;fi;MSO ROW
R1217304;MeoStar R1r 3-12x56 RD;2012-11-20;2012-11-20;lo;MSO ROW
R1006743;MeoStar R1 3-12x56;0000-00-00;2012-11-20;pl;MSO ROW
R1216070;Artemis 2100 3-12x50 RD;2012-11-20;2012-11-21;lo;MSO ROW
R1103124;Artemis 2100 3-12x50 RD;2012-11-21;2012-11-21;fi;MSO ROW
R1105131;MeoStar R1 7x56 RD;2012-11-20;2012-11-21;hu;MSO ROW
R1116782;Artemis 2100 3-12x50 RD;2012-11-21;2012-11-22;sw;MSO ROW
R1120300;MeoStar R1 1,5-6x42 RD;2012-11-21;2012-11-22;rs;MSO ROW
R1218129;MeoStar R1r 3-12x56 RD;2012-11-09;2012-11-22;pl;MSO ROW
R1217304;MeoStar R1r 3-12x56 RD;2012-11-20;2012-11-23;lo;MSO ROW
S1200802;MeoStar S2 82 HD Angled / Šikmý;2012-11-24;2012-11-24;gm;MSO ROW
R1109380;MeoStar R1 1-4x22 RD/MR;2012-10-29;2012-11-24;gm;MSO ROW
R1211933;MeoStar R1 1-4x22 RD;2012-11-24;2012-11-24;sw;MSO ROW
R0707376;MeoStar R1 7x56;2012-11-11;2012-11-25;lo;MSO ROW
124367;MeoStar B1 10x42 HD;2012-11-25;2012-11-25;uk;MSO ROW
R1114789;MeoStar R1r 3-12x56 RD;2012-10-27;2012-11-26;fi;MSO ROW
R1215604;MeoStar R1r 3-12x56 RD;2012-11-02;2012-11-26;fi;MSO ROW
R1205607;MeoStar R1 3-12x56 RD;2012-11-23;2012-11-26;no;MSO ROW
R1119278;MeoStar R1 3-12x56 RD;2012-11-23;2012-11-26;sw;MSO ROW
R1205607;MeoStar R1 3-12x56 RD;2012-11-23;2012-11-26;no;MSO ROW
R1205607;MeoStar R1r 3-12x56 RD;2012-11-23;2012-11-26;no;MSO ROW
R1217238;MeoStar R1r 3-12x56 RD/MR;2012-11-20;2012-11-26;no;MSO ROW
102686;MeoStar B1 7x50;2012-11-26;2012-11-27;hu;MSO ROW
R1217410;MeoStar R1r 3-12x56 RD;2012-11-24;2012-11-27;lo;MSO ROW
R1218219;MeoStar R1r 3-12x56 RD;2012-11-14;2012-11-28;lo;MSO ROW
R1114259;MeoStar R1 3-12x56 RD;0000-00-00;2012-11-28;au;MSO ROW
R1114259;MeoStar R1 3-12x56 RD;2012-11-27;2012-11-28;au;MSO ROW
20026;MeoStar S1 75 Straight / Přímý;2012-11-28;2012-11-28;no;MSO ROW
R1201510;MeoStar R1 1,5-6x42 RD;2012-11-15;2012-11-29;fi;MSO ROW
R1215644;MeoStar R1r 3-12x56 RD;2012-11-27;2012-11-29;pl;MSO ROW
R1105987;MeoStar R1 3-10x50;2012-11-29;2012-11-30;as;MSO ROW
R1215832;MeoStar R1r 3-12x56 RD;2012-11-15;2012-12-01;lo;MSO ROW
R1120768;MeoStar R1 1,5-6x42 RD;2012-11-21;2012-12-01;rs;MSO ROW
R0901221;Artemis 2000 2-8x42;2012-11-30;2012-12-01;no;MSO ROW
R1215900;MeoStar R1r 3-12x56 RD;2012-12-01;2012-12-02;fi;MSO ROW
R1217038;MeoStar R1 7x56 RD;2012-11-17;2012-12-02;pl;MSO ROW
603723;MeoStar B1 10x42;2012-12-03;2012-12-03;as;MSO ROW
122030;MeoStar B1 8x42;2012-11-30;2012-12-03;gm;MSO ROW
R1202004;ZD 3-12x50 Tactic;2012-11-14;2012-12-03;no;MSO ROW
R1214970;MeoStar R1r 3-12x56 RD;2012-12-04;2012-12-04;pl;MSO ROW
R1109216;MeoStar R1r 3-12x56 RD;2012-11-04;2012-12-04;gm;MSO ROW
R1109441;MeoStar R1 1-4x22 RD/MR;2012-11-13;2012-12-05;gm;MSO ROW
R1109399;MeoStar R1 1-4x22 RD/MR;2012-11-27;2012-12-05;sw;MSO ROW
R1112801;MeoStar R1r 3-12x56 RD;2012-11-27;2012-12-05;no;MSO ROW
R1203187;MeoStar R1 1,5-6x42 RD;2012-11-06;2012-12-06;fi;MSO ROW
R1217948;Artemis 2100 3-12x50 RD;2012-12-06;2012-12-06;gm;MSO ROW
R1217818;MeoStar R1r 3-12x56 RD;2012-11-29;2012-12-07;gm;MSO ROW
R1202421;MeoStar R1r 3-12x56 RD;2012-11-07;2012-12-07;fi;MSO ROW
R1207151;MeoStar R1 1-4x22 RD;2012-11-22;2012-12-07;no;MSO ROW
R1211942;MeoStar R1 1-4x22 RD;2012-11-23;2012-12-07;no;MSO ROW
R1210707;MeoStar R1 3-12x56 RD;2012-11-30;2012-12-07;gm;MSO ROW
R1119503;MeoStar R1 3-12x56 RD;2012-12-06;2012-12-07;fr;MSO ROW
R1109360;MeoStar R1 1-4x22 RD/MR;2012-12-06;2012-12-07;gm;MSO ROW
R1219354;MeoStar R1r 3-12x56 RD;2012-12-05;2012-12-08;gm;MSO ROW
R1219243;MeoStar R1r 3-12x56 RD;2012-12-03;2012-12-09;au;MSO ROW
R1219243;MeoStar R1r 3-12x56 RD;2012-12-03;2012-12-09;au;MSO ROW
R1219892;MeoStar R1r 3-12x56 RD;2012-11-29;2012-12-09;sw;MSO ROW
168747;MeoStar R1 1-4x22 RD;2012-12-07;2012-12-10;gm;MSO ROW
R1117959;MeoStar R1r 3-12x56 RD;2012-12-10;2012-12-10;fi;MSO ROW
R1218659;MeoStar R1 1-4x22 RD;2012-12-07;2012-12-10;gm;MSO ROW
R1216841;MeoStar R1 3-12x56;2012-12-01;2012-12-10;lo;MSO ROW
R1209283;MeoStar R1 3-12x56 RD;2012-12-04;2012-12-11;no;MSO ROW
R1217454;MeoStar R1r 3-12x56 RD;2012-11-28;2012-12-11;sw;MSO ROW
R1207082;MeoStar R1 3-12x56 RD;2012-11-13;2012-12-11;pl;MSO ROW
805147;MeoStar B1 8x32;0000-00-00;2012-12-12;fr;MSO ROW
R1220661;Artemis 2100 7x50 RD;2012-11-28;2012-12-12;lo;MSO ROW
R1203443;MeoStar R1 3-12x56 RD;0000-00-00;2012-12-12;pl;MSO ROW
R1003198;MeoStar R1 3-12x56 RD;2012-12-12;2012-12-12;sw;MSO ROW
R0901250;Artemis 2000 2-8x42;2012-11-13;2012-12-13;no;MSO ROW
R1215684;MeoStar R1r 3-12x56 RD;2012-12-12;2012-12-13;fi;MSO ROW
R1203796;MeoStar R1r 3-12x56 RD;0000-00-00;2012-12-13;pl;MSO ROW
R1213933;MeoStar R1r 3-12x56 RD/MR;2012-11-19;2012-12-14;gm;MSO ROW
